Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;21.12.13;Werder Bremen;Leverkusen;H;11;22;2;3;0;0
D1;22.12.13;M'gladbach;Wolfsburg;D;14;18;1;3;0;0
D1;24.01.14;M'gladbach;Bayern Munich;A;10;24;2;1;0;0
D1;25.01.14;Dortmund;Augsburg;D;18;6;2;2;0;0
D1;25.01.14;Ein Frankfurt;Hertha;H;5;7;2;3;0;0
D1;25.01.14;Freiburg;Leverkusen;H;13;15;2;1;0;0
D1;25.01.14;Nurnberg;Hoffenheim;H;16;12;1;3;0;0
D1;25.01.14;Stuttgart;Mainz;A;14;10;1;2;0;0
D1;25.01.14;Wolfsburg;Hannover;A;24;10;2;1;0;0
D1;26.01.14;Hamburg;Schalke 04;A;11;12;0;2;0;0
D1;26.01.14;Werder Bremen;Braunschweig;D;12;7;2;2;0;0
D1;29.01.14;Stuttgart;Bayern Munich;A;11;24;5;3;0;0
D1;31.01.14;Braunschweig;Dortmund;A;16;20;0;1;0;0
D1;01.02.14;Augsburg;Werder Bremen;H;20;4;1;3;0;1
D1;01.02.14;Hannover;M'gladbach;H;16;12;1;2;0;0
D1;01.02.14;Hoffenheim;Hamburg;H;14;7;0;1;0;0
D1;01.02.14;Leverkusen;Stuttgart;H;11;10;2;2;0;0
D1;01.02.14;Mainz;Freiburg;H;13;6;2;2;0;0
D1;01.02.14;Schalke 04;Wolfsburg;H;13;10;3;3;0;1
D1;02.02.14;Bayern Munich;Ein Frankfurt;H;25;9;0;0;0;0
D1;02.02.14;Hertha;Nurnberg;A;13;11;3;3;0;0
D1;07.02.14;M'gladbach;Leverkusen;A;14;12;2;4;0;0
D1;08.02.14;Ein Frankfurt;Braunschweig;H;19;10;2;1;0;0
D1;08.02.14;Freiburg;Hoffenheim;D;11;18;3;2;0;0
D1;08.02.14;Hamburg;Hertha;A;14;10;2;0;0;0
D1;08.02.14;Nurnberg;Bayern Munich;A;9;18;2;3;0;0
D1;08.02.14;Werder Bremen;Dortmund;A;11;15;2;2;0;0
D1;08.02.14;Wolfsburg;Mainz;H;17;8;2;2;0;0
D1;09.02.14;Schalke 04;Hannover;H;16;6;0;2;0;0
D1;09.02.14;Stuttgart;Augsburg;A;16;10;2;0;1;0
D1;14.02.14;Mainz;Hannover;H;19;14;1;3;0;0
D1;15.02.14;Bayern Munich;Freiburg;H;16;12;3;1;0;0
D1;15.02.14;Braunschweig;Hamburg;H;14;18;6;5;0;0
D1;15.02.14;Dortmund;Ein Frankfurt;H;21;7;1;3;0;0
D1;15.02.14;Hoffenheim;Stuttgart;H;13;13;3;4;0;1
D1;15.02.14;Leverkusen;Schalke 04;A;13;11;4;3;0;0
D1;15.02.14;Werder Bremen;M'gladbach;D;15;17;3;1;0;0
D1;16.02.14;Augsburg;Nurnberg;A;18;11;2;3;0;0
D1;16.02.14;Hertha;Wolfsburg;A;13;8;0;2;0;0
D1;21.02.14;Schalke 04;Mainz;D;16;15;1;2;0;0
D1;22.02.14;Freiburg;Augsburg;A;13;18;3;2;0;0
