"idMatch_results","idStadium","idTeam","idWeek","Goals","Goals_Against","numerGames","Win","Shots","Shots_On_Target","Red_Cards","Yellow_Cards"
"6658","11","21","206","1","1","1","0","14","4","0","3"
"6659","12","1","206","1","1","1","0","15","7","0","1"
"6660","13","16","206","2","3","1","0","12","4","1","3"
"6661","14","15","206","1","0","1","1","11","4","0","0"
"6662","4","10","206","2","1","1","1","5","2","0","0"
"6663","18","26","206","1","1","1","0","9","3","0","2"
"6664","27","2","206","4","0","1","1","18","8","0","3"
"6665","17","5","206","2","1","1","1","13","4","0","1"
"6666","1","18","207","0","3","1","0","12","1","0","2"
"6667","21","27","207","1","0","1","1","16","3","0","3"
"6668","10","15","207","0","3","1","0","10","4","0","3"
"6669","26","4","207","0","0","1","0","15","2","0","2"
"6670","12","13","207","1","2","1","0","17","7","1","2"
"6671","5","14","207","0","3","1","0","11","4","0","2"
"6672","16","11","207","4","1","1","1","6","4","0","3"
"6673","2","3","207","1","3","1","0","4","4","0","2"
"6674","7","17","207","1","2","1","0","9","5","1","1"
"6675","17","13","208","3","0","1","1","10","4","0","1"
"6676","10","21","208","1","2","1","0","4","1","0","1"
"6677","11","12","208","2","6","1","0","13","7","0","1"
"6678","14","2","208","4","2","1","1","17","6","0","1"
"6679","3","16","208","1","2","1","0","11","3","0","3"
"6680","27","1","208","0","0","1","0","17","3","0","3"
"6681","15","26","208","1","0","1","1","5","3","0","1"
"6682","4","7","208","3","1","1","1","16","6","0","4"
"6683","18","5","208","1","2","1","0","15","4","0","3"
"6684","5","4","209","1","3","1","0","13","4","0","2"
"6685","26","10","209","3","0","1","1","18","6","0","1"
"6686","12","17","209","0","1","1","0","9","2","0","3"
"6687","13","11","209","0","0","1","0","7","4","0","4"
"6688","7","27","209","1","0","1","1","13","4","0","4"
"6689","1","3","209","0","2","1","0","9","4","0","2"
"6690","21","14","209","0","2","1","0","16","2","0","4"
"6691","2","15","209","0","3","1","0","8","3","0","3"
"6692","16","18","209","1","0","1","1","10","6","0","3"
"6693","10","1","210","1","5","1","0","7","2","0","2"
"6694","26","7","210","1","2","1","0","12","4","1","1"
"6695","3","12","210","0","2","1","0","13","7","0","1"
"6696","27","13","210","1","0","1","1","8","3","0","1"
"6697","14","16","210","3","1","1","1","19","12","0","3"
"6698","4","2","210","1","1","1","0","14","4","0","1"
"6699","15","5","210","0","1","1","0","3","2","0","0"
"6700","17","21","210","2","4","1","0","13","4","0","5"
"6701","18","11","210","0","2","1","0","18","6","0","2"
"6702","12","27","211","1","1","1","0","16","5","0","3"
"6703","21","4","211","3","1","1","1","11","5","0","4"
"6704","13","18","211","1","0","1","1","10","5","0","3"
"6705","5","10","211","3","0","1","1","17","9","0","1"
"6706","16","17","211","3","1","1","1","9","5","0","1"
"6707","7","15","211","3","0","1","1","17","7","0","2"
"6708","1","14","211","1","1","1","0","8","3","0","2"
"6709","2","26","211","2","2","1","0","4","3","0","2"
"6710","11","3","211","1","1","1","0","14","6","0","1"
"6711","26","5","212","3","2","1","1","14","7","0","2"
"6712","14","7","212","0","1","1","0","19","6","0","1"
"6713","3","13","212","0","3","1","0","8","2","0","1"
"6714","4","16","212","2","2","1","0","18","7","0","1"
"6715","27","11","212","0","2","1","0","12","2","0","2"
