Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;21.12.13;Nurnberg;Schalke 04;0;0;D;15;8;4;2;0;0;0;0
D1;21.12.13;Werder Bremen;Leverkusen;1;0;H;11;22;3;5;2;3;0;0
D1;22.12.13;M'gladbach;Wolfsburg;2;2;D;14;18;4;13;1;3;0;0
D1;24.01.14;M'gladbach;Bayern Munich;0;2;A;10;24;5;13;2;1;0;0
D1;25.01.14;Dortmund;Augsburg;2;2;D;18;6;4;1;2;2;0;0
D1;25.01.14;Ein Frankfurt;Hertha;1;0;H;5;7;1;2;2;3;0;0
D1;25.01.14;Freiburg;Leverkusen;3;2;H;13;15;5;8;2;1;0;0
D1;25.01.14;Nurnberg;Hoffenheim;4;0;H;16;12;7;3;1;3;0;0
D1;25.01.14;Stuttgart;Mainz;1;2;A;14;10;5;4;1;2;0;0
D1;25.01.14;Wolfsburg;Hannover;1;3;A;24;10;8;6;2;1;0;0
D1;26.01.14;Hamburg;Schalke 04;0;3;A;11;12;3;9;0;2;0;0
D1;26.01.14;Werder Bremen;Braunschweig;0;0;D;12;7;3;2;2;2;0;0
D1;29.01.14;Stuttgart;Bayern Munich;1;2;A;11;24;3;7;5;3;0;0
D1;31.01.14;Braunschweig;Dortmund;1;2;A;16;20;5;6;0;1;0;0
D1;01.02.14;Augsburg;Werder Bremen;3;1;H;20;4;5;0;1;3;0;1
D1;01.02.14;Hannover;M'gladbach;3;1;H;16;12;6;6;1;2;0;0
D1;01.02.14;Hoffenheim;Hamburg;3;0;H;14;7;7;0;0;1;0;0
D1;01.02.14;Leverkusen;Stuttgart;2;1;H;11;10;5;3;2;2;0;0
D1;01.02.14;Mainz;Freiburg;2;0;H;13;6;5;1;2;2;0;0
D1;01.02.14;Schalke 04;Wolfsburg;2;1;H;13;10;6;6;3;3;0;1
D1;02.02.14;Bayern Munich;Ein Frankfurt;5;0;H;25;9;14;3;0;0;0;0
D1;02.02.14;Hertha;Nurnberg;1;3;A;13;11;4;4;3;3;0;0
D1;07.02.14;M'gladbach;Leverkusen;0;1;A;14;12;3;3;2;4;0;0
D1;08.02.14;Ein Frankfurt;Braunschweig;3;0;H;19;10;7;1;2;1;0;0
D1;08.02.14;Freiburg;Hoffenheim;1;1;D;11;18;4;4;3;2;0;0
D1;08.02.14;Hamburg;Hertha;0;3;A;14;10;3;4;2;0;0;0
D1;08.02.14;Nurnberg;Bayern Munich;0;2;A;9;18;2;6;2;3;0;0
D1;08.02.14;Werder Bremen;Dortmund;1;5;A;11;15;5;8;2;2;0;0
D1;08.02.14;Wolfsburg;Mainz;3;0;H;17;8;7;2;2;2;0;0
D1;09.02.14;Schalke 04;Hannover;2;0;H;16;6;7;1;0;2;0;0
D1;09.02.14;Stuttgart;Augsburg;1;4;A;16;10;1;5;2;0;1;0
D1;14.02.14;Mainz;Hannover;2;0;H;19;14;8;3;1;3;0;0
D1;15.02.14;Bayern Munich;Freiburg;4;0;H;16;12;7;0;3;1;0;0
D1;15.02.14;Braunschweig;Hamburg;4;2;H;14;18;7;8;6;5;0;0
D1;15.02.14;Dortmund;Ein Frankfurt;4;0;H;21;7;11;1;1;3;0;0
D1;15.02.14;Hoffenheim;Stuttgart;4;1;H;13;13;8;4;3;4;0;1
D1;15.02.14;Leverkusen;Schalke 04;1;2;A;13;11;5;4;4;3;0;0
D1;15.02.14;Werder Bremen;M'gladbach;1;1;D;15;17;7;6;3;1;0;0
D1;16.02.14;Augsburg;Nurnberg;0;1;A;18;11;6;2;2;3;0;0
D1;16.02.14;Hertha;Wolfsburg;1;2;A;13;8;4;3;0;2;0;0
D1;21.02.14;Schalke 04;Mainz;0;0;D;16;15;4;8;1;2;0;0
D1;22.02.14;Freiburg;Augsburg;2;4;A;13;18;5;10;3;2;0;0
D1;22.02.14;Hamburg;Dortmund;3;0;H;13;15;6;4;2;2;0;0
D1;22.02.14;M'gladbach;Hoffenheim;2;2;D;13;19;9;7;0;1;0;0
D1;22.02.14;Nurnberg;Braunschweig;2;1;H;6;22;5;6;4;2;1;0
D1;22.02.14;Stuttgart;Hertha;1;2;A;14;9;6;4;0;1;0;1
D1;22.02.14;Wolfsburg;Leverkusen;3;1;H;9;18;5;6;1;4;0;0
D1;23.02.14;Ein Frankfurt;Werder Bremen;0;0;D;21;3;4;0;1;3;0;1
D1;23.02.14;Hannover;Bayern Munich;0;4;A;8;14;3;7;2;1;0;0
D1;28.02.14;Hertha;Freiburg;0;0;D;9;7;2;5;0;0;0;0
D1;01.03.14;Augsburg;Hannover;1;1;D;16;10;5;2;2;3;0;0
D1;01.03.14;Bayern Munich;Schalke 04;5;1;H;22;10;12;4;1;0;0;1
D1;01.03.14;Braunschweig;M'gladbach;1;1;D;20;12;3;4;1;3;0;0
D1;01.03.14;Dortmund;Nurnberg;3;0;H;28;4;9;2;0;2;0;0
D1;01.03.14;Leverkusen;Mainz;0;1;A;19;9;8;3;4;1;0;0
D1;01.03.14;Werder Bremen;Hamburg;1;0;H;15;11;7;4;2;2;0;0
D1;02.03.14;Ein Frankfurt;Stuttgart;2;1;H;13;13;6;4;1;1;0;0
D1;02.03.14;Hoffenheim;Wolfsburg;6;2;H;17;6;12;5;0;2;0;1
D1;08.03.14;Hamburg;Ein Frankfurt;1;1;D;15;7;9;2;3;3;0;0
D1;08.03.14;Hannover;Leverkusen;1;1;D;19;9;7;1;1;1;0;0
D1;08.03.14;M'gladbach;Augsburg;1;2;A;15;19;8;4;0;0;0;0
D1;08.03.14;Nurnberg;Werder Bremen;0;2;A;15;12;4;5;3;4;0;0
D1;08.03.14;Schalke 04;Hoffenheim;4;0;H;24;10;9;2;3;3;0;0
D1;08.03.14;Stuttgart;Braunschweig;2;2;D;14;11;4;3;2;3;0;0
D1;08.03.14;Wolfsburg;Bayern Munich;1;6;A;12;18;3;12;1;0;0;0
D1;09.03.14;Freiburg;Dortmund;0;1;A;10;12;0;4;1;2;0;0
D1;09.03.14;Mainz;Hertha;1;1;D;16;12;6;9;2;2;0;0
D1;14.03.14;Augsburg;Schalke 04;1;2;A;21;10;3;4;3;5;0;0
D1;15.03.14;Bayern Munich;Leverkusen;2;1;H;23;6;8;3;2;3;0;0
D1;15.03.14;Braunschweig;Wolfsburg;1;1;D;8;11;2;2;1;4;0;0
D1;15.03.14;Dortmund;M'gladbach;1;2;A;25;7;7;3;1;0;0;1
D1;15.03.14;Hertha;Hannover;0;3;A;16;7;5;3;1;2;0;0
D1;15.03.14;Hoffenheim;Mainz;2;4;A;22;11;12;7;1;1;0;0
D1;15.03.14;Werder Bremen;Stuttgart;1;1;D;10;16;3;3;2;3;0;0
D1;16.03.14;Ein Frankfurt;Freiburg;1;4;A;26;7;10;5;2;5;0;0
D1;16.03.14;Hamburg;Nurnberg;2;1;H;26;9;13;4;0;2;0;0
D1;21.03.14;Freiburg;Werder Bremen;3;1;H;14;7;3;3;1;2;0;0
D1;22.03.14;Hannover;Dortmund;0;3;A;9;15;3;5;1;1;0;0
D1;22.03.14;Mainz;Bayern Munich;0;2;A;4;23;1;8;1;0;0;0
D1;22.03.14;M'gladbach;Hertha;3;0;H;8;8;4;2;1;1;0;0
D1;22.03.14;Schalke 04;Braunschweig;3;1;H;32;11;11;4;1;3;0;0
D1;22.03.14;Stuttgart;Hamburg;1;0;H;12;6;3;1;1;0;0;1
D1;22.03.14;Wolfsburg;Augsburg;1;1;D;10;12;1;2;1;1;1;0
D1;23.03.14;Leverkusen;Hoffenheim;2;3;A;12;12;5;7;1;2;0;0
D1;23.03.14;Nurnberg;Ein Frankfurt;2;5;A;13;23;4;9;0;1;1;0
