Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;17.10.10;Kaiserslautern;Ein Frankfurt;0;3;A;A;10;9;3;6;1;3;0;0
D1;22.10.10;Hamburg;Bayern Munich;0;0;D;D;16;11;3;1;1;2;0;0
D1;23.10.10;Ein Frankfurt;Schalke 04;0;0;D;D;17;5;1;2;2;1;0;0
D1;23.10.10;Freiburg;Kaiserslautern;2;1;H;D;13;17;5;2;2;1;0;0
D1;23.10.10;Hannover;FC Koln;2;1;H;H;8;9;4;2;1;1;0;0
D1;23.10.10;M'gladbach;Werder Bremen;1;4;A;A;17;14;9;7;2;2;0;0
D1;23.10.10;Nurnberg;Wolfsburg;2;1;H;D;17;8;4;2;1;3;0;0
D1;24.10.10;Dortmund;Hoffenheim;1;1;D;A;17;9;4;5;1;3;0;1
D1;24.10.10;Leverkusen;Mainz;0;1;A;D;16;10;2;4;0;1;0;0
D1;24.10.10;Stuttgart;St Pauli;2;0;H;H;15;17;7;5;3;2;0;0
D1;29.10.10;Bayern Munich;Freiburg;4;2;H;H;16;6;5;2;0;3;0;0
D1;30.10.10;FC Koln;Hamburg;3;2;H;D;8;11;3;4;2;1;0;0
D1;30.10.10;Kaiserslautern;M'gladbach;3;0;H;D;14;13;5;3;2;1;0;0
D1;30.10.10;Schalke 04;Leverkusen;0;1;A;D;7;11;4;3;1;0;0;0
D1;30.10.10;St Pauli;Ein Frankfurt;1;3;A;D;14;8;3;4;2;2;1;0
D1;30.10.10;Werder Bremen;Nurnberg;2;3;A;D;12;17;6;8;2;2;0;0
D1;30.10.10;Wolfsburg;Stuttgart;2;0;H;H;18;12;9;6;0;2;0;0
D1;31.10.10;Hoffenheim;Hannover;4;0;H;H;18;5;7;2;1;1;0;1
D1;31.10.10;Mainz;Dortmund;0;2;A;A;11;17;4;8;1;0;0;0
D1;05.11.10;Schalke 04;St Pauli;3;0;H;H;13;6;6;0;1;2;0;0
D1;06.11.10;Ein Frankfurt;Wolfsburg;3;1;H;H;15;13;8;7;1;2;0;0
D1;06.11.10;Freiburg;Mainz;1;0;H;D;14;6;4;1;2;1;0;0
